OBJECTID,DISTRICT,long,lat,AREA_SQKM
1,ABIM,33.75249143,2.706079384,2748.694453
2,ADJUMANI,31.77282334,3.234126642,3030.545179
3,AGAGO,33.34499431,2.913505394,3524.005108
4,ALEBTONG,33.25425645,2.269259585,1554.705261
5,AMOLATAR,32.7384915,1.622219875,1754.781029
6,AMUDAT,34.87820084,1.807273876,1665.78356
7,AMURIA,33.68638898,2.106718607,2586.591855
8,AMURU,31.95992989,3.04738946,3616.770592
9,APAC,32.56213137,1.890319709,3226.758929
10,ARUA,31.13589823,2.956731271,4345.871903
11,BUDAKA,33.98795882,1.06269545,410.2003251
12,BUDUDA,34.40672825,1.034642312,318.6020169
13,BUGIRI,33.77326412,0.533560436,1052.783996
14,BUHWEJU,30.33758897,-0.328231043,750.0877126
15,BUIKWE,33.03966065,0.308517398,1452.024764
16,BUKEDEA,34.123524,1.365212826,1049.140501
17,BUKOMANSIMBI,31.62754843,-0.126988181,599.6989728
18,BUKWO,34.68567736,1.281206487,557.9111619
19,BULAMBULI,34.35908908,1.367001147,694.1774857
20,BULIISA,31.3918386,1.964510795,2038.642693
21,BUNDIBUGYO,30.05575811,0.698529909,851.7529458
22,BUSHENYI,30.15882088,-0.487785845,806.2951091
23,BUSIA,34.00465251,0.414536829,763.4378428
24,BUTALEJA,33.93247717,0.885811662,655.1172408
25,BUTAMBALA,32.07399388,0.156433217,405.381704
26,BUVUMA,33.20813883,-0.389091704,9614.292438
27,BUYENDE,33.14091676,1.264417292,1879.249374
28,DOKOLO,33.07364664,1.940271894,1089.139309
29,GOMBA,31.70192402,0.198417932,1669.988703
30,GULU,32.39169579,2.98688142,1935.295819
31,HOIMA,31.07324834,1.439626436,5640.260328
32,IBANDA,30.48881812,-0.076449742,966.5312097
33,IGANGA,33.52531238,0.692724114,1016.018079
34,ISINGIRO,30.87702053,-0.850429052,2649.874768
35,JINJA,33.21194216,0.568306511,723.6763858
36,KABALE,30.04780333,-1.253733943,1047.24291
37,KABAROLE,30.28925342,0.600141524,1815.650884
38,KABERAMAIDO,33.22206317,1.761112757,1623.445614
39,KABONG,34.02751387,3.609627374,7302.956008
40,KAGADI,30.81001212,1.017792831,1555.405041
41,KAKUMIRO,31.2977318,0.987512915,1669.472692
42,KALANGALA,32.37868448,-0.576270653,7745.051154
43,KALIRO,33.48260018,1.070432176,869.1430601
44,KALUNGU,31.80195051,-0.09936614,836.8904395
45,KAMPALA,32.59623147,0.318484313,195.1439306
46,KAMULI,33.10315115,0.943058468,1554.128027
47,KAMWENGE,30.49315837,0.228275035,2410.642659
48,KANUNGU,29.72614974,-0.807954769,1329.214651
49,KAPCHORWA,34.42315862,1.351467411,357.3991662
50,KASESE,30.0013546,0.120379508,3391.483215
51,KATAKWI,34.03740227,1.924999691,2427.671896
52,KAYUNGA,32.89075999,0.975781353,1703.716237
53,KIBAALE,31.06731156,0.805053589,1161.105029
54,KIBOGA,31.95634071,0.841579016,1563.579781
55,KIBUKU,33.80055662,1.056630867,489.9000679
56,KIRUHURA,30.87267367,-0.214690045,4604.624103
57,KIRYANDONGO,32.04089965,2.025789746,3621.506552
58,KISORO,29.68113474,-1.215301525,729.5159046
59,KITGUM,33.25754344,3.401681519,4150.060971
60,KOBOKO,31.00681728,3.527946238,761.7448152
61,KOLE,32.76403328,2.295883638,1060.111773
62,KOTIDO,33.9860292,3.026458732,3610.420889
63,KUMI,33.96068319,1.476425494,1074.061418
64,KWEEN,34.56748574,1.434609583,816.3016101
65,KYANKWANZI,31.6419275,1.124021663,2472.943992
66,KYEGEGWA,31.00136012,0.453566422,1747.717769
67,KYENJOJO,30.6620798,0.659387786,2352.697102
68,LAMWO,32.72321311,3.553614351,5442.626774
69,LIRA,32.96115983,2.305392176,1339.827793
70,LUUKA,33.33774082,0.806760297,649.0753383
71,LUWERO,32.58252529,0.831748713,2215.9532
72,LWENGO,31.42516002,-0.410669404,1024.349687
73,LYANTONDE,31.18737578,-0.220422662,866.1452237
74,MANAFWA,34.3270933,0.878841445,533.9517841
75,MARACHA,30.92581723,3.239299133,444.0951839
76,MASAKA,31.85487104,-0.488569844,2197.351764
77,MASINDI,31.71220257,1.746002207,3920.833215
78,MAYUGE,33.55096753,-0.085813156,3378.953481
79,MBALE,34.19758056,1.021988774,518.5928757
80,MBARARA,30.5695661,-0.568144622,1796.712525
81,MITOOMA,30.01280338,-0.579988453,681.4085695
82,MITYANA,32.05752748,0.445080305,1597.611681
83,MOROTO,34.63082456,2.651441661,3546.13021
84,MOYO,31.68807828,3.540182247,1712.466368
85,MPIGI,32.15825144,0.069782157,1524.260874
86,MUBENDE,31.53282346,0.521510605,4613.624005
87,MUKONO,32.78549841,0.007022973,4082.23376
88,NAKAPIRIPIRIT,34.56214066,1.888506012,4182.077217
89,NAKASEKE,32.16853176,1.051542243,3475.250988
90,NAKASONGOLA,32.42489014,1.354784909,3508.736353
91,NAMAYINGO,33.80379575,-0.31480532,4664.250542
